filename,path,operationId,verb,response_object,tags,stackql_service_name,stackql_resource_name,stackql_method_name,stackql_verb
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/associatedServers,listAssociatedServersByTrustedType,get,AuthorizationServer,AuthorizationServerAssoc,authorization_servers,associated_servers,list_associated_servers_by_trusted_type,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/associatedServers,createAssociatedServers,post,AuthorizationServer,AuthorizationServerAssoc,authorization_servers,associated_servers,create_associated_servers,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/associatedServers/{associatedServerId},deleteAssociatedServer,delete,,AuthorizationServerAssoc,authorization_servers,associated_servers,delete_associated_server,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/claims,listOAuth2Claims,get,OAuth2Claim,AuthorizationServerClaims,authorization_servers,claims,list_oauth2_claims,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/claims,createOAuth2Claim,post,OAuth2Claim,AuthorizationServerClaims,authorization_servers,claims,create_oauth2_claim,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/claims/{claimId},getOAuth2Claim,get,OAuth2Claim,AuthorizationServerClaims,authorization_servers,claims,get_oauth2_claim,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/claims/{claimId},replaceOAuth2Claim,put,OAuth2Claim,AuthorizationServerClaims,authorization_servers,claims,replace_oauth2_claim,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/claims/{claimId},deleteOAuth2Claim,delete,,AuthorizationServerClaims,authorization_servers,claims,delete_oauth2_claim,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/clients,listOAuth2ClientsForAuthorizationServer,get,OAuth2Client,AuthorizationServerClients,authorization_servers,clients,list_oauth2_clients_for_authorization_server,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens,listRefreshTokensForAuthorizationServerAndClient,get,OAuth2RefreshToken,AuthorizationServerClients,authorization_servers,clients,list_refresh_tokens_for_authorization_server_and_client,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens,revokeRefreshTokensForAuthorizationServerAndClient,delete,,AuthorizationServerClients,authorization_servers,clients,revoke_refresh_tokens_for_authorization_server_and_client,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens/{tokenId},getRefreshTokenForAuthorizationServerAndClient,get,OAuth2RefreshToken,AuthorizationServerClients,authorization_servers,clients,get_refresh_token_for_authorization_server_and_client,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens/{tokenId},revokeRefreshTokenForAuthorizationServerAndClient,delete,,AuthorizationServerClients,authorization_servers,clients,revoke_refresh_token_for_authorization_server_and_client,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/credentials/keys,listAuthorizationServerKeys,get,AuthorizationServerJsonWebKey,AuthorizationServerKeys,authorization_servers,keys,list_authorization_server_keys,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/credentials/keys/{keyId},getAuthorizationServerKey,get,AuthorizationServerJsonWebKey,AuthorizationServerKeys,authorization_servers,keys,get_authorization_server_key,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/credentials/lifecycle/keyRotate,rotateAuthorizationServerKeys,post,AuthorizationServerJsonWebKey,AuthorizationServerKeys,authorization_servers,keys,rotate_authorization_server_keys,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/lifecycle/activate,activateAuthorizationServer,post,,AuthorizationServer,authorization_servers,associated_servers,activate_authorization_server,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/lifecycle/deactivate,deactivateAuthorizationServer,post,,AuthorizationServer,authorization_servers,associated_servers,deactivate_authorization_server,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies,listAuthorizationServerPolicies,get,AuthorizationServerPolicy,AuthorizationServerPolicies,authorization_servers,policies,list_authorization_server_policies,
